aspects,aspect_sentiment,sentiment_label,aspect,frequency,importance_score
price,0.21614760070955563,Positive,price,1158,250.29892162166541
quality,0.14534897574114694,Positive,quality,1239,180.08738094328106
performance,0.19626753654576579,Positive,performance,303,59.46906357336703
design,0.10866496666633135,Positive,design,405,44.0093114998642
screen,0.11147400319189041,Positive,screen,315,35.11431100544548
service,0.0958172696892732,Neutral,service,339,32.482054424663616
battery,0.11185098367189861,Positive,battery,264,29.528659689381232
delivery,0.18949937574421438,Positive,delivery,105,19.89743445314251
packaging,0.06519568471089758,Neutral,packaging,109,7.106329633487836
